"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF649",78.6260595522766,0.275698991713123,0.255839408428459,1.07762519232927,0.281201054972886,NA
"LYRM1",112.507434713054,0.275989548772146,0.289834581470688,0.952231260230269,0.340979710566685,NA
"NUTM2A-AS1",121.181778841347,0.276021996409472,0.213524765766729,1.2926931235275,0.196117217023481,NA
"BTG2",224.564436302874,0.27609705762134,0.178022374991163,1.55091211222772,0.120922747361661,NA
"TCP11L1",261.444107167417,0.276260568626516,0.21305394895757,1.29666955237489,0.194744909905173,NA
"ZFP69B",37.6162826101634,0.276283279751794,0.377864349987245,0.731170537154724,0.464674993893196,NA
"COL8A1",13.6006899427315,0.276476008462903,0.701687172850777,0.394016050399854,0.693569189313396,NA
"CHTF18",154.037403273992,0.276753605351219,0.219153558632766,1.26282962082753,0.206650417116471,NA
"EXOC3L1",397.442906835993,0.27691230891795,0.15000752900087,1.84598940308085,0.0648937441099119,NA
"SPATA6",75.2746980349552,0.277036251319304,0.270030198371433,1.02594544236209,0.304917301171124,NA
"SCAMP1",340.12382200631,0.277991820131182,0.138138655722515,2.01241150550643,0.0441765766550829,NA
"STIL",283.8751082785,0.278236923561985,0.147299659154546,1.88891763333995,0.05890286629543,NA
"DDX11L2",10.9020898124694,0.278275045927502,0.648234189276689,0.42928165550479,0.667718265183313,NA
"FILIP1",107.951190137334,0.278541850852741,0.277926751081316,1.00221317224424,0.316240647283498,NA
"FNTA",580.387004152332,0.278610124605312,0.115294091589105,2.41651693304672,0.0156697973791587,NA
"STK33",14.9154981347001,0.278687768372209,0.572360276421407,0.48690969630992,0.626322327195505,NA
"HIST1H2AH",339.211290326794,0.279007340037601,0.221421314433957,1.26007444563707,0.207642507809827,NA
"HNRNPU-AS1",44.448036274597,0.279099561810544,0.330724032434157,0.843904689224873,0.398722667636439,NA
"PPM1D",250.138277563833,0.279173766908594,0.165034176747342,1.69161183708023,0.0907200080488668,NA
"ZNF525",37.0359853625297,0.279388267862055,0.49994358910412,0.558839585007398,0.576271204042818,NA
"TOB2P1",9.1781316419571,0.279599467035653,0.787925579108908,0.354855172174842,0.722698093109921,NA
"FABP5",6032.29943908081,0.279599475809359,0.281322253411818,0.99387614175002,0.320283170940298,0.999902108527275
"CERS1",18.005046879594,0.280264866086639,0.53157214320711,0.527237684796141,0.598028542030921,NA
"ZNF778",94.4669934251267,0.280405317975278,0.247819920407311,1.13148820931913,0.257849663292697,NA
"LYRM9",50.372592202877,0.280567935387272,0.317596583213768,0.883409804186803,0.377014895503834,NA
"HIST1H2BF",152.939945346636,0.280895913437184,0.280641593437832,1.00090620921951,0.316872154370089,NA
"SYCE1L",29.2504514729199,0.280990729604924,0.400327253004609,0.701902574696031,0.482739923152077,NA
"SPEF2",18.7593194584452,0.281095262799895,0.598629375081847,0.469564766616177,0.638666002135834,NA
"ZNF570",73.023474137896,0.281238333881539,0.290623865983958,0.96770556997911,0.333191435557628,NA
"ZNF350",45.9633136634308,0.28167787365394,0.360159731813896,0.782091524322576,0.434160787461124,NA
"DANCR",149.979480226141,0.282089322276593,0.201450616493664,1.400290191147,0.16142643694855,NA
"LOC101927550",9.22019104563829,0.282391440988553,0.737134518121924,0.383093497924954,0.701650440471026,NA
"CABLES2",98.7738988217331,0.28271252330347,0.258529215942216,1.09354187407066,0.274155954174907,NA
"LOC101927740",12.5944533848606,0.28328875020792,0.603551929209504,0.469369306099235,0.638805683994228,NA
"KIF5C",45.7002077890948,0.283310892370328,0.395785291928238,0.715819658153685,0.47410271238912,NA
"HIST1H2BB",92.9230781653512,0.283515487695916,0.298838831190865,0.948723720294696,0.342761146577643,NA
"TCAF2",178.793990943964,0.283547283322131,0.19610837334383,1.44587035467882,0.148213568271216,NA
"MMADHC",505.677060008329,0.283615786904513,0.115861632163946,2.44788357981348,0.0143698078365286,NA
"ARHGAP33",40.8158983073985,0.283748166595498,0.359817259913922,0.788589648710509,0.430351882887838,NA
"ZNF529-AS1",24.8277924232917,0.283830765746291,0.436087300860741,0.650857672732205,0.515138366905176,NA
"CHRAC1",396.495482788807,0.283975758570381,0.126428635797652,2.246134799911,0.0246953749170569,NA
"TRAPPC13",155.292475790274,0.284927431555556,0.189239027359834,1.50564836191941,0.132157466482597,NA
"POLN",21.8113981222929,0.285399746087851,0.511739488409903,0.557705145980929,0.577045743149455,NA
"LOC100134868",23.8877873708494,0.285405732808351,0.449468068259128,0.634985559516564,0.525437833126214,NA
"ZNF132",31.9903097813191,0.285407387438205,0.401977915954548,0.71000763004721,0.477699404643567,NA
"ZNF382",54.2918058142296,0.285411791148491,0.367403227007368,0.776835286595802,0.437255955211549,NA
"EPOR",78.3338466672352,0.2856921535919,0.262496151006907,1.08836701984397,0.276433114571999,NA
"ZNF252P",356.606792279713,0.285855439342297,0.14413586568617,1.9832360112555,0.0473410731784779,NA
"GOLGA8A",79.0830885637791,0.285940173390832,0.262336462977788,1.08997495104233,0.275724178318969,NA
"DBNDD1",78.6584737489072,0.286033828491336,0.283897110940303,1.00752638004648,0.313681887237627,NA
"RGAG4",24.4688317033354,0.286139039350929,0.48375914567704,0.591490707530638,0.554191679565449,NA
"NOS1AP",30.7147444358772,0.286213651571746,0.416683576220854,0.686884887970831,0.492155270700964,NA
"ZNF677",43.917136437233,0.286225318143682,0.36126505270292,0.792286206490763,0.428193812611075,NA
"STMN3",12.316397446809,0.286711765068228,0.627372314319751,0.457004172042728,0.647668046772734,NA
"FAM160A2",103.659374905984,0.287727889849191,0.221521330802257,1.29887216191399,0.193987804656724,NA
"NME5",14.6870595858149,0.288031419092079,0.614632762540436,0.468623602005156,0.639338703839756,NA
"DCLK2",60.3524518694887,0.288301502794736,0.299122651923049,0.963823705564445,0.33513431961137,NA
"ZNF577",39.2634254477159,0.288355856978374,0.362611638270225,0.795219531159906,0.426485812457219,NA
"UBXN2B",178.479994261394,0.288411876814467,0.206574943764195,1.39616098428514,0.16266602272699,NA
"SULT1C4",331.622287491184,0.288460927672333,0.198309069360099,1.45460280058363,0.145779255249951,NA
"LINC00346",107.259422714211,0.288488247856485,0.280138085456894,1.02980730872767,0.303100469140673,NA
"WDR31",19.1416204170457,0.28902636611288,0.539135939705129,0.536091818087582,0.591895094537637,NA
"PABPC5",14.9501624018156,0.289292064566691,0.715990889796924,0.404044337280246,0.686180115744426,NA
"NIPBL-AS1",50.8401747458941,0.289494304330558,0.331201896921358,0.874071999651912,0.38207904495778,NA
"FKBP5",926.273266840255,0.290276220917327,0.113974891857593,2.54684357393395,0.0108702147461024,0.56153142863859
"TAF9B",171.966166187621,0.290281385454016,0.204188576714051,1.42163381578653,0.155132582648992,NA
"KIF24",90.0179188244726,0.290593668678669,0.25959853791035,1.11939639960154,0.26297106627682,NA
"ZNF627",145.466266761154,0.290683143552336,0.199638141854584,1.45605013577049,0.145378760553996,NA
"ORAI3",156.649546183215,0.290798453325428,0.198237979912043,1.46691594342544,0.142398922829037,NA
"ZNF670",30.6189246097063,0.290965102328667,0.470422430770568,0.618518768018897,0.536233430131138,NA
"CALML4",42.3119099902847,0.291493991795405,0.375504660684121,0.776272633379146,0.437588027970339,NA
"PSMB9",48.4529108099892,0.291862755942301,0.386739464397246,0.754675389534359,0.450443776605361,NA
"DNAJC6",38.9475207240416,0.292407976872955,0.386480567152296,0.756591667797178,0.449294534752012,NA
"PEX2",85.7175645900374,0.292601020200279,0.255109729784142,1.14696142890301,0.25139756248118,NA
"OSGIN2",136.542004272572,0.292845403173214,0.202117632555017,1.44888597531688,0.147369428383963,NA
"NKX3-1",13.276731590123,0.293735475368573,0.634482921097465,0.462952532844381,0.643398391341523,NA
"ZNF436-AS1",12.6598027790513,0.294109482922738,0.598357584366994,0.491527960214423,0.62305308145918,NA
"SMCO4",38.6689050616718,0.294271539460578,0.349463688949242,0.842066139533369,0.399750933187524,NA
"CHST10",131.975229768907,0.294317587472765,0.215470883589402,1.36592741705934,0.17196174628737,NA
"ARG2",138.160494709043,0.294396629404313,0.258268768864565,1.13988474370547,0.254334321848199,NA
"ZBTB5",126.815701004862,0.294451089349574,0.210468901789625,1.39902421139581,0.161805722812461,NA
"IKBKE",96.0716732626802,0.294908925846853,0.228355452854222,1.29144683063521,0.196548780676623,NA
"SHC4",53.654162547919,0.294976724319937,0.401267344983834,0.735112707294487,0.462270855946156,NA
"IQSEC2",61.1053225804206,0.295438814639853,0.309769665330861,0.953737075334017,0.340216748087721,NA
"DMPK",196.866542556391,0.295623605934268,0.227578798732911,1.29899449149134,0.193945819606398,NA
"FAM117B",143.284536405022,0.296081530150514,0.214772384905517,1.37858286707002,0.168023401988719,NA
"HNRNPA3P1",11.6100481518715,0.296212557583481,0.698603736982858,0.424006546061103,0.671561039297535,NA
"DNASE1",35.1738316175809,0.29638661061076,0.361917858599136,0.818933367250718,0.412824431278873,NA
"SNORA23",180.957121318142,0.296990352449131,0.191954208285459,1.54719375574965,0.121816531240919,NA
"MFSD8",90.6032621241137,0.297074066043672,0.273191945933882,1.08741882938075,0.276851753390223,NA
"C19orf44",54.2100447554621,0.297446142705005,0.348991056799201,0.852303051639935,0.394045912740598,NA
"S1PR3",15.8744966015153,0.298335210846067,0.732975167139616,0.407019533840825,0.683993641371077,NA
"ARRDC1-AS1",50.6451970322317,0.298471993911859,0.335687023080527,0.889137718738265,0.373929069790377,NA
"MFSD9",41.0262656172876,0.298880580282353,0.361151261677266,0.827577284083919,0.407909937290596,NA
"LCMT2",42.4477512103413,0.299025046745143,0.362377588552492,0.825175331453558,0.409272056423036,NA
"SBF2-AS1",14.7399384647242,0.29912761299578,0.570187787718972,0.524612451263531,0.599852629249882,NA
"TOE1",85.6692796801477,0.299226399531125,0.23878493655168,1.25312092065893,0.210161703468124,NA
"SLC2A9",19.2124370733606,0.299535246192128,0.52107170452161,0.574844582027588,0.565396412406584,NA
"ARL15",165.265198992783,0.299552526240548,0.200810678661573,1.49171611906847,0.135773581607006,NA
"METAP1D",27.046539831691,0.299998167651371,0.462434275730721,0.648736876559001,0.516508464345438,NA
"FBXO36",25.6381645217878,0.300006996449962,0.431419694250872,0.695394763956944,0.486807941018564,NA
"CDK1",383.905692782007,0.300059883003961,0.174405821919725,1.7204694184009,0.0853471479827306,NA
"ALDH6A1",71.9577695695721,0.300284274599098,0.277870293172777,1.08066346772947,0.279846839201865,NA
"ZNF568",65.4798526653349,0.301724411740269,0.279650190193199,1.07893512080868,0.280616651028219,NA
"LOC101929340",11.6214649007723,0.301804172437924,0.653032876525732,0.462157700303826,0.643968234669806,NA
"ZNF813",47.0008016468062,0.301828290499001,0.347169102864784,0.869398480476409,0.384629213936507,NA
"CCDC102A",90.5498441378737,0.302124946537503,0.252356685815957,1.19721395754041,0.231223170980165,NA
"TEX10",270.159876946842,0.302593819858272,0.148797972475775,2.03358832666578,0.0419931197805588,NA
"PTPN6",9.22378096992136,0.302891011913564,0.741559847353692,0.408451203223113,0.682942448408188,NA
"DCLRE1A",100.18196640795,0.303184335300542,0.240608244794423,1.26007458954527,0.207642455900922,NA
"RAB20",20.9318335130892,0.303661883303956,0.525295608611385,0.578078092270148,0.563211397109668,NA
"SNORA71C",31.1911100709604,0.304709479788349,0.445195508937803,0.684439698224627,0.493697555343191,NA
"TTC31",181.342355390572,0.305609119394761,0.186318600880258,1.64025018409819,0.10095315879324,NA
"SLC9A5",17.8769125808138,0.305774082948938,0.530941468307627,0.575909212598503,0.564676548291622,NA
"SLC39A8",76.53305534545,0.305816260469353,0.281192907556174,1.08756747503761,0.276786095794044,NA
"GTDC1",97.1558193588721,0.305961924735719,0.241667864548699,1.26604306827093,0.205497663417362,NA
"MTRF1",52.1866758661244,0.306159802638023,0.31539149485175,0.970729419263298,0.331683037851738,NA
